0,English,Hindi,English_Tokens,Hindi_Tokens,Alignment_Flag
Do you speak English? - क्या आप अंग्रेज़ी बोलते हैं?,Do you speak English? , क्या आप अंग्रेज़ी बोलते हैं?,"['▁Do', '▁you', '▁speak', '▁English', '?']","['▁क्या', '▁आप', '▁अंग्रेज़ी', '▁बोलते', '▁हैं', '?']",False
I want to visit a temple. - मुझे एक मंदिर जाना है।,I want to visit a temple. , मुझे एक मंदिर जाना है।,"['▁I', '▁want', '▁to', '▁visit', '▁a', '▁temple', '.']","['▁मुझे', '▁एक', '▁मंदिर', '▁जाना', '▁है', '।']",False
Let's go now - चलो अब चलें,Let's go now , चलो अब चलें,"['▁Let', ""'"", 's', '▁go', '▁now']","['▁चलो', '▁अब', '▁चलें']",False
I am interested in photography. - मुझे फोटोग्राफी में रुचि है।,I am interested in photography. , मुझे फोटोग्राफी में रुचि है।,"['▁I', '▁am', '▁interested', '▁in', '▁photography', '.']","['▁मुझे', '▁फोटोग्राफी', '▁में', '▁रुचि', '▁है', '।']",False
Can I borrow your phone charger? - क्या मैं आपका फोन चार्जर उधार ले सकता हूँ?,Can I borrow your phone charger? , क्या मैं आपका फोन चार्जर उधार ले सकता हूँ?,"['▁Can', '▁I', '▁borrow', '▁your', '▁phone', '▁charger', '?']","['▁क्या', '▁मैं', '▁आपका', '▁फोन', '▁चार्जर', '▁उधार', '▁ले', '▁सकता', '▁हूँ', '?']",False
I feel great - मुझे बहुत अच्छा महसूस हो रहा है,I feel great , मुझे बहुत अच्छा महसूस हो रहा है,"['▁I', '▁feel', '▁great']","['▁मुझे', '▁बहुत', '▁अच्छा', '▁महसूस', '▁हो', '▁रहा', '▁है']",False
I have a question - मेरे पास एक सवाल है,I have a question , मेरे पास एक सवाल है,"['▁I', '▁have', '▁a', '▁question']","['▁मेरे', '▁पास', '▁एक', '▁सवाल', '▁है']",False
Where can I buy medicine? - मैं दवा कहाँ खरीद सकता हूँ?,Where can I buy medicine? , मैं दवा कहाँ खरीद सकता हूँ?,"['▁Where', '▁can', '▁I', '▁buy', '▁medicine', '?']","['▁मैं', '▁दवा', '▁कहाँ', '▁खरीद', '▁सकता', '▁हूँ', '?']",False
What is the time now? - अब क्या समय हुआ है?,What is the time now? , अब क्या समय हुआ है?,"['▁What', '▁is', '▁the', '▁time', '▁now', '?']","['▁अब', '▁क्या', '▁समय', '▁हुआ', '▁है', '?']",False
I am happy - मैं खुश हूं,I am happy , मैं खुश हूं,"['▁I', '▁am', '▁happy']","['▁मैं', '▁खुश', '▁हूं']",False
