0,English,Hindi
I am learning to drive. - मैं गाड़ी चलाना सीख रहा हूँ।,I am learning to drive. , मैं गाड़ी चलाना सीख रहा हूँ।
Can you recommend a good restaurant? - क्या आप एक अच्छा रेस्टोरेंट सुझा सकते हैं?,Can you recommend a good restaurant? , क्या आप एक अच्छा रेस्टोरेंट सुझा सकते हैं?
I need to buy groceries. - मुझे किराने का सामान खरीदना है।,I need to buy groceries. , मुझे किराने का सामान खरीदना है।
I love watching movies. - मुझे फिल्में देखना बहुत पसंद है।,I love watching movies. , मुझे फिल्में देखना बहुत पसंद है।
Where is the nearest bank? - सबसे नज़दीकी बैंक कहाँ है?,Where is the nearest bank? , सबसे नज़दीकी बैंक कहाँ है?
I’m feeling a bit nervous. - मुझे थोड़ा घबराहट हो रही है।,I’m feeling a bit nervous. , मुझे थोड़ा घबराहट हो रही है।
I have a lot of work to do. - मुझे बहुत काम करना है।,I have a lot of work to do. , मुझे बहुत काम करना है।
Can I use your laptop? - क्या मैं आपका लैपटॉप इस्तेमाल कर सकता हूँ?,Can I use your laptop? , क्या मैं आपका लैपटॉप इस्तेमाल कर सकता हूँ?
This city is very crowded. - यह शहर बहुत भीड़-भाड़ वाला है।,This city is very crowded. , यह शहर बहुत भीड़-भाड़ वाला है।
I’m looking for a good book to read. - मैं पढ़ने के लिए एक अच्छी किताब ढूंढ रहा हूँ।,I’m looking for a good book to read. , मैं पढ़ने के लिए एक अच्छी किताब ढूंढ रहा हूँ।
What is your favorite movie? - आपकी पसंदीदा फिल्म कौन सी है?,What is your favorite movie? , आपकी पसंदीदा फिल्म कौन सी है?
I need a vacation. - मुझे छुट्टी की ज़रूरत है।,I need a vacation. , मुझे छुट्टी की ज़रूरत है।
I am going to the gym. - मैं जिम जा रहा हूँ।,I am going to the gym. , मैं जिम जा रहा हूँ।
I need a haircut. - मुझे बाल कटवाने हैं।,I need a haircut. , मुझे बाल कटवाने हैं।
How far is the hospital from here? - यहाँ से अस्पताल कितनी दूर है?,How far is the hospital from here? , यहाँ से अस्पताल कितनी दूर है?
